Number,SMILEs,MW,FSP3,Cm
45,C[C@@H]1CC(OC2C1[C@]3(CCC45C[C@@]46CC[C@@H](C([C@@H]6CC[C@H]5C3([C@H]2O)C)(C)C)O)C)CC*,429.6650000000002,1.0,502.41170990180774
46,CC1=CC(=C(C(=C1CN(C)CC*)C)C)OC,220.33599999999996,0.5714285714285714,172.56582842209323
47,COC1=CC(=CC=C1)S(=O)(=O)N2C3=C(C=C(C=C3)Cl)C=C2CC*,348.8310000000001,0.17647058823529413,322.2801600732265
48,CCOC(=O)N(CC*)C1CCCCC1,198.28599999999994,0.9090909090909091,153.90567842497788
49,CCN(CC#C)C(=O)NC1COCC1(C)*,209.26899999999995,0.7272727272727273,270.45805331101775
50,C(N=C(N)N)OC(=O)C(*)N,145.142,0.5,174.5690846234065
51,CC(C)C1OCC(C(O1)C2=CC=CC=C2)C/C=C\\CCC*,287.4230000000001,0.5789473684210527,233.2778723794519
52,CC(CC1=CC=CC=C1CCC(C2=CC=CC(=C2)/C=C/C3=NC=C(C=C3)C(F)(F)F)SCC4(CC4)C*)O,524.6720000000003,0.3870967741935484,397.5921620345494
53,CC[C@@H](CC*)NC(=O)OC(C)(C)C,186.27499999999998,0.9,164.43174723664546
54,CC(C)[C@H](C*)N(C)S(=O)(=O)C1=CC=C(C=C1)[N+](=O)[O-],285.345,0.5,237.76694379987777
55,COC1=C(C=CC(=C1)C(C(=C)CC*)O)OC(=O)C2=CC=CC=C2,311.3569999999999,0.21052631578947367,258.0883973693558
56,COC(CC(=O)N1CCC(CC1)OCC*)CN,243.32699999999994,0.9166666666666666,233.4350034379587
57,CC1CCCCCN1C(=O)NCCC*,197.302,0.9090909090909091,196.53324080741197
58,C1=CC(=CC(=C1)NS(=O)(=O)C2=CC=CC(=C2)N=C(N)NC(=O)N)C(C*)C3=CC(=CC(=C3)F)F,472.4970000000002,0.09090909090909091,404.34743792865527
59,CCCCCCCCCCCCCCCCC(=O)OC(CCCCC)CCCCCCCCCCCCCCCCC*,592.0700000000002,0.975,320.1440348570961
60,CC1=C(C=C(C=C1)C(=O)C(C)(C)NC2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3C)C(=O)NCC*,471.58100000000024,0.25,398.804659379621
61,C1COC[C@]1(CC(=O)C2=CC(=CN=C2)N)*,205.237,0.45454545454545453,243.2455284278625
62,C1CCC(CC1)C2=NC(=C3N2C=CC=C3)CC*,227.33100000000002,0.5333333333333333,192.7031658088543
63,CC1=CC=C(C=C1)CNC(C*)C2CCC2,202.32099999999997,0.5714285714285714,134.43174723664546
64,CC1(CCCC2(C1CC=C(C23CCC(O3)(C)C*)CO)C)C,291.455,0.8947368421052632,303.8041848542114
65,COC1=C(C=CC(=C1)CN(CC2CCCCC2)C(C*)C3=CC(=C(C=C3)Cl)Cl)OCCN4C(=CC=C4O)O,546.5150000000002,0.4482758620689655,425.14161051583494
66,CC1=CC=CC=C1[C@H](CC*)OC2=C(C=CC(=C2)OCC3=CSC=C3)C4=NC=CS4,420.57900000000006,0.20833333333333334,400.3400222698188
67,CCN(C1COCC1*)C(=O)NCC(C)COC,243.32699999999997,0.9166666666666666,289.74226582616205
68,CC(CC(=O)NC1=CC(=C(C=C1)Cl)C(F)(F)F)C*,278.68100000000004,0.4166666666666667,215.12867184404888
69,CN1C=NC2=CC(=NC(=C2C1=O)N3CC[C@@H](C3)CO)C4=CC=C(C=C4)C(=O)CC*,391.45100000000014,0.36363636363636365,384.6216967721512
70,CCCCC(*)[C@]1([C@H]([C@@H]([C@@H]([C@H](O1)O)OCC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4)COCC5=CC=CC=C5,609.7830000000001,0.38461538461538464,545.2808849176726
71,CC(C)(C)N(CC*)C(=O)N(C)CCC#N,210.30099999999996,0.8181818181818182,184.48110318407677
72,C1C(C2=C(N1)C(=NC=N2)C(=O)NCC3=CC=C(C=C3)F)C(=O)NCCC*,356.3810000000002,0.3333333333333333,368.8770066047279
73,CC(C)(C(=O)N)N(C1=CC=C(C=C1)N=C(C2=CC=CC(=C2)CC*)C3=C(NC4=C3C=CC(=C4)Cl)O)S(=O)(=O)C,552.0760000000002,0.21428571428571427,479.0092160264273
74,CCN1C(=O)/C(=C\\2/N(C(=O)/C(=C/C3=CC4=C(C=C3)N(C5C4CCC5)C6=CC=C(C=C6)C=C(C7=CC=CC=C7)C8=CC=CC=C8)/S2)CC*)/SC1=S,710.9700000000003,0.21428571428571427,609.1116781047325
75,C1=CC(=C(C(=C1)Cl)CF)CC*,171.62199999999996,0.3333333333333333,116.35390453667257
76,CCCCCCCCC1(C=CC=C(C1*)O)O,223.33600000000004,0.7142857142857143,212.48388485998066
77,CN(CCC*)C(=O)C1(CC1)C2=CC=C(C=C2)N,231.319,0.5,167.209684611868
78,CC1CCC(CC1)N(C)C(=O)CCCC*,210.34099999999995,0.9230769230769231,163.24552842786252
79,CCCCOC(=O)[C@H](C)NC(=O)CNC(=O)CCCC*,285.36400000000003,0.7857142857142857,277.05930961907956
80,CC1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC(=CC=C3)NC(=O)CC*)CN4CCN(CC4)CC5=CC=CC=C5,542.7000000000005,0.42424242424242425,478.689884539735
81,CCOC1=C(C=C(C=C1)Br)C(CC(C)C*)O,286.18899999999996,0.5384615384615384,210.7782947098651
82,CC1=C(C=CC=C1Br)C(=O)N2CCC(CC2)[C@H]3C(CCO3)*,351.2640000000002,0.5882352941176471,285.0855570980685
83,CC1C(=O)NC2=C(O1)C=C(C=C2)C(=O)C(C)C*,232.25899999999996,0.38461538461538464,269.6212222467417
84,CO[C@H]1CCC[C@@]1(*)N,114.16800000000002,1.0,185.61796604542843
85,CC1=NC(=CS1)CN(C)C(=O)NC(=O)CC(C)C*,268.362,0.5833333333333334,292.5006531927307
86,CC1C(CCO1)(*)N(C=O)C(C)C,170.232,0.8888888888888888,247.4350034379587
87,CC(CCCCCCCCCC(=O)OC(C*)C[N+](C)(C)C)O,315.49800000000005,0.9444444444444444,245.62122224674167
88,CC(C)CC(=O)C1=C(C2(CC(C(C(=C2OC1=O)C(C*)C3=CC=CC=C3)(C)C)CC=C(C)C)CC=C(C)C)O,517.7300000000004,0.5294117647058824,353.9184723679135
89,C=CCN(CCC1=CNC2=CC=CC=C21)CC*,227.331,0.3333333333333333,197.53324080741197
90,CC(=CCC(C)(C)[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCC*)O)O)C,349.53500000000014,0.7727272727272727,275.69290987873075
91,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC*,638.0070000000003,0.9230769230769231,232.97410985565375
92,COC1CCCN(C1)C(=O)N[C@@H](CO)*,201.24600000000004,0.8888888888888888,264.57234082471973
93,CN1C2=C(C(=CC=C2)F)N=C1C*,163.17499999999995,0.2222222222222222,183.80810064864252
94,C1CCC(C(C1)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N)NC(=O)O[C@H]5[C@@H]([C@H]([C@@H](C(O5)*)O)O)O,568.5710000000004,0.44,755.1673027916978
95,C1CCC2=C(C1)C=CC(=C2)COC(CN(CCCC*)CC3=CC=C(C=C3)C(=O)O)C4=CC=CC=C4,470.63300000000015,0.3870967741935484,332.529740943007
96,C=CC(=O)OCCOC12C(C(C(C3=CC=CC=C31)(C4=CC=CC=C24)OCCOC(=O)C=C)*)C(=O)NC5=CC=CC=C5,552.6030000000004,0.24242424242424243,497.2452847647704
97,C=CC(=O)OCCCCOC(=O)OC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC3=CC=C(C=C3)OCCC*,517.5540000000003,0.23333333333333334,362.01320987296197
98,CC1=C(C=C(C=C1)N(C[C@@H]2[C@H](C(C(C2=O)C(F)(F)F)OC)C/C=C\\OCC*)C(C)C)C,440.5260000000003,0.625,378.23601822432414
99,C1C[C@H](N(C1)C2=CC=C(C=C2)CC3=CC=CC=C3)CC*,264.392,0.3684210526315789,184.3402659329106
100,C1CCCC(CCC1)OC(=O)C*,169.24399999999997,0.9,98.46433485132677
101,CCC[C@@H](C(CC)N[C@@H](CC(C)C)CN[C@@H](C)C(=O)NCC1=CC=C(C=C1)C=O)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CCC*,600.869,0.7058823529411765,587.1901218024395
102,C1CC(C1)(C2=NN=C(O2)C(CO)N)NC(=O)NC(CO)*,284.29600000000005,0.7272727272727273,372.4876155867033
103,CC1=CC=C(O1)CN2C=C(N=N2)CCCC*,218.27999999999997,0.5,211.5169470000713
104,CC(C)N(CCC*)C1=CC(=NC=C1)C(=O)N,220.296,0.5,215.51694700007133
105,B1([C@H](CC[C@H](O1)C*)NC(=O)CCC2=CC=CC=C2)O,260.12199999999996,0.5,293.38775011659345
106,CC(C)(C)OC(=O)NCCCCCCC1=CC2=C(C=C1)N(C(=O)CN(C2=O)CC*)C(C3=CC=CC=C3)C4=CC=CC=C4,568.7380000000003,0.4,430.74902189188117
107,CC1=CC=C(C=C1)COC2=C(C=C(C=C2)C3C4=C(CCCC4=O)N(C5=C3C(=O)CCC5)CC*)OC,470.58900000000045,0.4,303.2813722438573
108,C[C@H]([C@@H](C(=O)N[C@@H](CO)*)NC(=O)[C@H](CC1=CC=C(C=C1)O)N)O,324.357,0.4666666666666667,390.61144084202766
109,CC(=O)OCO/N=[N+](\\N(C)CCCCC*)/[O-],232.25999999999993,0.8888888888888888,202.80465937962074
110,CCCCCCCOC1=CC=C(C=C1)C2=CN=C(N=C2)C3=CC=C(C=C3)C[C@H](CC(=O)C4=CC=C(S4)C(C)(C)C)C(=O)NC5CCCC(C5)*,678.963,0.47619047619047616,505.45780964792567
111,C1CN(CCC12CCN(C2)C3=CC=NC=C3)C(=O)NCC*,287.38700000000006,0.625,230.46480937673613
112,CC(C)N(CC*)C(=O)CC1=CC=NN1,194.25800000000004,0.6,192.9908781884037
113,CC(C)/C=C/[C@@H](C*)CN,126.223,0.75,79.27811604254381
114,CC(C)OCCNCCCC*,158.265,1.0,109.5821222294339
115,CCCCCCC[C@H](CC(=O)OC(CCCCCCC)C*)O[C@@]1(COC(C(C1O)O)C)OC2C(C(C(C(O2)C)O)O)O,605.7860000000004,0.967741935483871,738.5290099537308
116,CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@@H](*)N)OC(=O)CCCCCCCCCCC,577.7400000000001,0.9310344827586207,465.06907822301923
117,CC1CCC(C(N1)COC2=CC(=CC(=C2O)OC)C3C(C(CC(O3)CCC4=CC(=C(C=C4)O)OC)O)CCO)(CC5=CCNC(=C5)N)C*,666.8359999999999,0.5675675675675675,713.670090867989
118,CC(C)(C*)C1=C(C=CC2=C1C=CC(=C2)Cl)O,233.718,0.2857142857142857,162.2489696968843
119,C1CC2(CCN(C2)CC*)OC3=CC4=C(C=C31)OCO4,260.313,0.6,312.4154534293049
120,COC1=C(C=CC(=N1)C2=CC=CC(=C2Cl)C3=C4CC[C@@H](C4=CC=C3)OC5=C(C=C(C(=N5)OC)CNC(=C)CC*)Cl)CNC[C@@H]6CCC(=O)N6,701.6749999999998,0.34210526315789475,701.7202914762469
121,CC(C)(C)SCC(=O)NC1=CC=C(C=C1)OCCC*,280.41300000000007,0.5333333333333333,198.09189723376082
122,CCCCCC(C=CC1=C(CC(CCC2=CC=CC=C2CC1)CCCCC*)CC(CO)O)O,455.7030000000004,0.6666666666666666,329.6929098787308
123,CC1=C(C2=C(N1)C(=CC=C2)F)CC(=O)N[C@@H](C*)C3=CC=CO3,299.325,0.23529411764705882,328.5236444704064
124,CC(C*)N(C1=C(C=CC=C1F)F)C(=O)OC,228.21799999999993,0.36363636363636365,203.9549757770258
125,CC(CC*)CCNS(=O)(=O)C1=CC=CC=C1Cl,274.793,0.5,217.539938277747
126,CC1=C(N=C(C=C1)N(C)CC*)C#N,174.22699999999998,0.4,172.83724699430203
127,C1=CC(=C(C=C1Cl)S(=O)(=O)NCCCC*)Cl,281.18399999999997,0.4,216.47494811609292
128,CC1(CCN(CC1)CC(=O)NCCC*)O,213.301,0.9090909090909091,168.86983460898335
129,CN1C=C(C=C1C(=O)N2CC(C2)C*)[N+](=O)[O-],222.22399999999996,0.5,224.80465937962072
130,C1=CC(=CC(=C1)O)C2C(NC(=O)O2)*,178.16699999999994,0.2222222222222222,253.81069725683784
131,CC(C)C1=NC2=CC=CC=C2N1CCCC*,215.31999999999994,0.5,190.53324080741194
132,C1CNCCC(C1C*)N,127.211,1.0,136.0756034264202
133,C[C@H](CC1CCCC1)C[C@@H](C*)N,168.304,1.0,119.95781604831308
134,CCOC1=CC=CC=C1C2CC2C*,175.25099999999995,0.5,159.65380986142296
135,CC1=CC2=NC=C(N2C=C1)C(C*)C3=CC=C(C=C3)F,253.3,0.1875,227.16750066018105
136,CC(C)(C)N1C=CN=C(C1=O)N2CCC(CC2)C*,248.34999999999994,0.7142857142857143,212.33072819128833
137,C1CN(CC1C*)S(=O)(=O)C2=C(C=CC(=C2)C#N)Cl,283.76,0.4166666666666667,265.41424125867434
138,C1=CC2=NC=CN=C2N=C1CC*,158.18399999999997,0.2222222222222222,185.5169470000713
139,COC(=O)[C@@](C*)(C1=CC2=C(C=C1)OC[C@]3(CCCC4=C3C=CC(=C4)Cl)CN2C[C@@H]5CCC5[C@H](C=C)O)O,525.0650000000003,0.5,530.0888132993816
140,CC(C)(C*)C1=CC2=C(C=C1F)OCO2,195.21299999999994,0.45454545454545453,176.24896969688425
141,CC1=C(C=CC(=C1)C2=C(C(CC(C2)(C)C)(C)C)/C=C/C(=O)C[C@H](C*)O[Si](C)(C)C(C)(C)C)F,471.75300000000027,0.6206896551724138,333.7782947098652
142,CC1=CC(=C(C=C1)NC(=O)CCC(=O)NNC(=O)CC*)C,290.3430000000001,0.4,278.4973969914175
143,CC(CNCCC*)(CO)O,146.21000000000004,1.0,149.2422722265493
144,CC1=CC=C(C=C1)N2C(=C(C(=N2)C3=CC=C(C=C3)F)CCC(CC(C*)O)O)C(C)C,409.52500000000026,0.4,324.52690067171983
145,CC(C)C(CNC(=O)NCC(C*)OC)C(C)C,243.37099999999998,0.9230769230769231,191.05930961907941
146,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](C3=CC4=C(C(=C3C5=C2C=C(C(=C5O)C(=O)N[C@H]([C@H](C)O)*)C)O)C(=O)C6=C(C4=O)C(=CC(=C6)OC)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O,812.7540000000006,0.46153846153846156,1095.2543223794341
