Number,SMILEs,NumAtoms,MW,FSP3,Cm
1417,CCCc1ccnc(N(C(=O)CN2C[C@H](c3ccc4c(c3)CCO4)[C@@H](*)[C@@H]2c2ccc(CC)c(F)c2)C(C)CCC)n1,42,557.734,0.5,585.9747566479972
1418,CCCc1ccnc(N(C(=O)CN2C[C@H](c3ccc4c(c3)CCO4)[C@@H](*)[C@@H]2c2ccc(CC)c(F)c2)C(CC)CC)n1,42,557.7340000000002,0.5,549.295056642228
1419,CCCc1ccnc(N(C(=O)CN2C[C@H](c3ccc4c(c3)CCO4)[C@@H](*)[C@@H]2c2ccc(CC)c(F)c2)C(C)CC)n1,41,543.7070000000001,0.48484848484848486,579.9747566479972
1420,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1nccc(CCC)n1,41,543.7070000000001,0.48484848484848486,552.9552066393434
1421,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1ncc(F)c(CC)n1,41,547.6700000000001,0.46875,569.3999914820162
1422,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1nccc(CC)n1,40,529.6800000000002,0.46875,546.9552066393434
1423,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1cccc(C#N)c1,40,524.6600000000003,0.3939393939393939,526.6837880671345
1424,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1ccc(F)c(CC)c1,41,545.6940000000002,0.4411764705882353,533.3147917185903
1425,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1cccc(-c2ccccc2)c1,44,575.7480000000003,0.34210526315789475,528.794819379523
1426,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1ccc(F)c(Cl)c1,40,552.0850000000003,0.40625,542.9295015627055
1427,CCCCN(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1cccc(CO)c1,40,529.6760000000003,0.42424242424242425,520.0399318773598
1428,CCCC(CCC)N(C(=O)CN1C[C@H](c2ccc3c(c2)CCO3)[C@@H](*)[C@@H]1c1ccc(CC)c(F)c1)c1ncc(F)c(CC)n1,44,589.7510000000002,0.5142857142857142,571.7398414849009
1429,CCC(CC)N(C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1cccc(C)c1,38,493.6710000000002,0.36363636363636365,453.93499703757163
1430,CCCCC(CCCC)N(C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1cccc(C)c1,42,549.7790000000001,0.43243243243243246,465.9349970375717
1431,CCCCCC(C)N(C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1cccc(C)c1,40,521.7250000000003,0.4,502.61469704334087
1432,CCCC(C)N(C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1cccc(C)c1,38,493.6710000000002,0.36363636363636365,490.6146970433409
1433,CCCCC(CCCC)N(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1ncc(F)c(CC)n1,43,569.789,0.5,499.29505664222813
1434,CCCC(C)N(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1ncc(F)c(CC)n1,39,513.6810000000003,0.4375,523.9747566479972
1435,CCCCN(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1ncc(F)c(CC)n1,38,499.6540000000003,0.41935483870967744,490.95520663934343
1436,CCCC(CCC)N(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1nccc(CC)n1,40,523.7450000000002,0.47058823529411764,470.8502717995552
1437,CCc1ccnc(N(CCN2C[C@H](c3ccc4occc4c3)[C@@H](*)[C@@H]2c2ccc(C)cc2)C(C)CC)n1,37,481.6640000000002,0.41935483870967744,495.5299718053244
1438,CCc1ccnc(N(CCN2C[C@H](c3ccc4occc4c3)[C@@H](*)[C@@H]2c2ccc(C)cc2)C(CC)CC)n1,38,495.69100000000026,0.4375,464.8502717995552
1439,CCCCC(CCCC)N(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1nccc(CC)n1,42,551.7990000000001,0.5,476.8502717995552
1440,CCCCCC(C)N(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1nccc(CC)n1,40,523.7450000000002,0.47058823529411764,513.5299718053242
1441,CCCC(C)N(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1nccc(CC)n1,38,495.69100000000026,0.4375,501.52997180532435
1442,CCCCN(CCN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)c1nccc(CC)n1,37,481.66400000000027,0.41935483870967744,468.5104217966705
1443,CCCCc1cncnc1N(C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)C(CCC)CCC,43,565.782,0.4722222222222222,509.19012180243953
1444,CCCCc1cncnc1N(C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)C(C)CCC,41,537.7280000000002,0.4411764705882353,539.8698218082088
1445,CCCCc1cncnc1N(CCC)C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1,39,509.6740000000002,0.40625,500.8502717995551
1446,CCCCc1cncnc1N(CCCC)C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1,40,523.7010000000002,0.42424242424242425,506.850271799555
1447,CCCc1cncnc1N(C(=O)CN1C[C@H](c2ccc3occc3c2)[C@@H](*)[C@@H]1c1ccc(C)cc1)C(CCC)CCC,42,551.7550000000001,0.45714285714285713,503.19012180243953
