X1s,Y1s
0.551947015,0.851520893
0.508528998,0.728826371
0.368734546,0.719535409
0.357540567,0.850847953
0.196282822,0.912567726
0.211678886,0.833526616
0.335799831,0.759559247
0.610541267,0.889254232
0.299924963,0.826888582
0.454832724,0.88145667
0.306826661,0.791115342
0.279771441,0.816043959
0.491773312,0.742410088
0.502728225,0.68409504
0.425698483,0.653459613
0.512396516,0.802947203
0.357920918,0.737739501
0.194059426,0.974033808
0.29991576,0.756986001
0.145961563,0.944415732
0.223178456,0.821631318
0.33963096,0.800428059
0.18166128,0.949873036
0.356456416,0.816387935
0.437330298,0.771430354
0.539900218,0.823163796
0.406021896,0.733959965
0.334979927,0.842506748
0.327579335,0.778215295
0.343884464,0.83476995
0.257851942,0.8477796
0.248784524,0.852378961
0.225752996,0.854611947
0.497725498,0.680798532
0.341664575,0.823036017
0.118241908,0.934339783
0.391122,0.749714911
0.436849751,0.791633804
0.370369609,0.845484101
0.26336885,0.833011572
0.303647602,0.901108431
0.53266983,0.815753119
0.150219507,0.944446187
0.363378099,0.745373258
0.266071751,0.927126584
0.331383331,0.794884268
0.43580974,0.910824409
0.398855737,0.854470166
0.567378118,0.941486809
0.228515145,0.887674185
0.112611899,0.942986023
0.605739528,0.786997946
0.115438271,0.995907456
0.271284254,0.863163936
0.09628105,0.981970754
0.440517034,0.671627447
0.393863546,0.75401123
0.123296788,0.938029632
0.216503946,0.866799124
0.232247433,0.839494319
0.202032606,0.917776524
0.320515565,0.804366405
0.395643854,0.848011206
0.591113962,0.720383593
0.429888635,0.690434485
0.329191626,0.746221089
0.562326785,0.750694379
0.616673937,0.865323875
0.667988442,0.760556221
0.330552603,0.844451524
0.409675193,0.654361189
0.215639841,0.941346894
0.182628307,0.914623087
0.322897936,0.8846849
0.351609045,0.859717001
0.451483277,0.994652475
0.337153345,0.773922391
0.50876584,0.762616184
0.384241315,0.787446041
0.280891125,0.868673304
0.318490035,0.807081967
0.372125401,0.709818807
0.548930811,0.978601553
0.304719745,0.767959015
0.474833022,0.672268674
0.431935093,0.689773725
0.45989837,0.612240774
0.257129053,0.819644578
0.288662546,0.817690491
0.513353953,0.918447811
0.29213401,0.76759381
0.393970329,0.747609742
0.125775319,0.935293016
0.165965708,0.930308228
0.427343168,0.692616345
0.476873825,0.609871751
0.399134618,0.952779035
0.380499035,0.677917412
0.36240506,0.982644688
0.380448895,0.865468982
0.233923606,0.858361178
0.416282927,0.860313003
0.415919663,0.739744043
0.347336922,0.802362608
0.262469062,0.839444746
0.218424986,0.97158638
0.299517533,0.876461459
0.224562312,0.885860062
0.478880839,0.678387327
0.377025944,0.768421618
0.380449624,0.774300552
0.313301046,0.851213491
0.382382069,0.767564764
0.335343256,0.813207378
0.130353947,0.922406696
0.246703845,0.831762171
0.26574981,0.868288867
0.273356632,0.819454749
0.443760953,0.783040992
0.243462689,0.813035865
0.147284411,0.905848937
0.355344481,0.790611325
0.328550364,0.882179825
0.196430189,0.878968046
0.564874652,0.952080272
0.569478976,0.640363988
0.371388724,0.95088764
0.295262766,0.99174403
0.292708125,0.97503162
0.467477295,0.853415859
0.652671963,0.857698779
0.314975442,0.905530119
0.429383244,0.931626327
0.262399751,0.865205349
0.266939949,0.952776927
0.496695649,0.827987562
0.182581214,0.938530471
0.169152913,0.901287178
0.418050247,0.967266824
