Number,SMILES,MW,FSP3,Cm
7608,C=CCCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)[C@@H](C)CC)C(C(=O)N(CC=C)c3ccc4ccccc4c3)C23CC[C@@]1(C)S3=O,634.8390000000002,0.5277777777777778,738.1699122006679
7609,C=CCCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)[C@@H](C)CC)C(C(=O)N(CC=C)Cn3nnc4ccccc43)C23CC[C@@]1(C)S3=O,639.8190000000001,0.6060606060606061,775.542824343643
7610,C=CCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)N(CC=C)c3ccc(OC)cc3)C23CC[C@@]1(C)S3=O,600.7780000000002,0.59375,682.3202871934562
7611,C=CCCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)N(CC=C)c3ccc(OC)cc3)C23CC[C@@]1(C)S3=O,614.8050000000002,0.6060606060606061,688.3202871934562
7612,C=CCN(C(=O)C1N([C@@H](CO)CC(C)C)C(=O)[C@@H]2[C@@H](C(=O)O)[C@@]3(C)CCC12S3=O)c1ccc(Cl)cc1,537.0780000000003,0.5769230769230769,626.2552970318018
7613,C=CCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)N(CC=C)Cc3ccccc3)C23CC[C@@]1(C)S3=O,556.7250000000004,0.5666666666666667,643.5653996912927
7614,C=CCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)N(CC=C)c3c(C)cccc3C)C23CC[C@@]1(C)S3=O,570.7520000000004,0.5806451612903226,646.3954746898504
7615,C=CCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)N(CC=C)c3ccccc3Cl)C23CC[C@@]1(C)S3=O,605.1970000000001,0.5806451612903226,699.9349970375715
7616,C=CCCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)N(CC=C)CCCCC)C23CC[C@@]1(C)S3=O,578.8160000000005,0.7741935483870968,655.640587187687
7617,C=CCN(C(=O)C1N([C@@H](CO)CC(C)C)C(=O)[C@@H]2[C@@H](C(=O)O)[C@@]3(C)CCC12S3=O)c1cc(C)ccc1C,530.6870000000002,0.6071428571428571,647.8105121891291
7618,C=CCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)CC(C)C)C(C(=O)N(CC=C)c3c(C)cccc3Cl)C23CC[C@@]1(C)S3=O,605.1970000000001,0.5806451612903226,700.7650720361293
7619,C=CCN(C(=O)C1N([C@@H](CO)Cc2ccccc2)C(=O)[C@@H]2[C@@H](C(=O)O)[C@@]3(C)CCC12S3=O)c1c(C)cccc1Cl,585.1220000000003,0.43333333333333335,680.1801095354076
7620,C=CCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)C(C)C)C(C(=O)N(CC=C)c3ccc(OC)cc3)C23CC[C@@]1(C)S3=O,558.6970000000003,0.5517241379310345,664.3202871934562
7621,C=CCN(C(=O)C1N([C@@H](CO)C(C)C)C(=O)[C@@H]2[C@@H](C(=O)O)[C@@]3(C)CCC12S3=O)c1c(C)cccc1C,516.6600000000003,0.5925925925925926,609.0556246869656
7622,C=CCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)C(C)C)C(C(=O)N(CC=C)c3ccccc3Cl)C23CC[C@@]1(C)S3=O,591.1700000000002,0.5666666666666667,693.9349970375715
7623,C=CCCCOC(=O)[C@@H]1[C@H]2C(=O)N([C@@H](CO)C(C)C)C(C(=O)N(CC=C)CCCCC)C23CC[C@@]1(C)S3=O,550.7620000000005,0.7586206896551724,643.640587187687
7624,C=CCN(C(=O)C1N(CCCCCO)C(=O)[C@@H]2[C@@H](C(=O)O)[C@@]3(C)CCC12S3=O)c1ccc(N(CC)CC)cc1,559.7290000000003,0.6206896551724138,622.0786745600245
7625,C=CCOC(=O)[C@@H]1[C@H]2C(=O)N(CCCCCO)C(C(=O)N(CC=C)c3ccc(Cl)cc3)C23CC[C@@]1(C)S3=O,563.1160000000002,0.5357142857142857,629.4056720245906
7626,C=CCCOC(=O)[C@@H]1[C@H]2C(=O)N(CCCCCO)C(C(=O)N(CC=C)c3ccc(Cl)cc3)C23CC[C@@]1(C)S3=O,577.1430000000003,0.5517241379310345,635.4056720245906
7627,C=CCCCCOC(=O)[C@@H]1[C@H]2C(=O)N(CCCCCO)C(C(=O)N(CC=C)Cc3ccccc3)C23CC[C@@]1(C)S3=O,584.7790000000003,0.59375,633.3759246811965
