RunNum,Silhouette,PD_Min,PD_Max,PD_Avg
1,0.3312694279808195,0.08050201767207091,1.2042263227838517,0.5195540814276047
2,0.3474742296185828,0.1089977316447304,1.1324310900576353,0.5069771811253871
3,0.33095774296079394,0.08050201767207091,1.1553001518174437,0.5215332529730233
4,0.34925799790926587,0.12302126541737561,1.1324310900576353,0.5026254628747494
5,0.33467504063298265,0.09118829257703163,1.1537254849607708,0.5209153817779498
6,0.3472316145352647,0.1089977316447304,1.1324310900576353,0.5063519902545063
7,0.3378355605838447,0.10252671880670648,1.1417942228727938,0.5032201072789245
8,0.344020795979793,0.08356653210574612,1.1324310900576353,0.5062000939245471
9,0.34767963307778615,0.12501968525355625,1.1324310900576353,0.5054778691657273
10,0.33629108873529445,0.08825049570607546,1.1324310900576353,0.5092266556412994
11,0.3314171009537534,0.08718379482720612,1.1553001518174437,0.5141865751129867
12,0.33804911323864634,0.12077214954811423,1.1417942228727938,0.5011923249917518
13,0.333870956036629,0.09118829257703163,1.1537254849607708,0.5205422547607299
14,0.3425595923906767,0.1089977316447304,1.1417942228727938,0.5057786791910374
15,0.3485248880886387,0.12507163674201932,1.1324310900576353,0.5053839564400557
16,0.3384757879084576,0.1057683483573041,1.1417942228727938,0.5060657569151163
17,0.3473260672778615,0.08349102787236559,1.1324310900576353,0.5033609526579613
18,0.33929987830703146,0.09157088491634861,1.1324310900576353,0.5046065741822102
19,0.33198086989558745,0.09118829257703163,1.1537254849607708,0.5135383627191089
20,0.33326229329288204,0.08871243700169316,1.1515228027133946,0.5198762539784806
