RunNum,Silhouette,PD_Min,PD_Max,PD_Avg
1,0.284820971663461,0.3834355238451278,6.834418772167569,2.4264555339058735
2,0.2786194931062732,0.4575764892111978,6.852432126817364,2.473892417531711
3,0.2851117586180606,0.48094520123526513,6.928386401887906,2.4570423276043725
4,0.28322372178070415,0.4795695357769659,6.937907382552709,2.480297174180116
5,0.28889728133340115,0.4511711630867844,6.882173821657113,2.481308461392707
6,0.2852797347670789,0.45297678811982206,6.979264419426252,2.5219652488613336
7,0.28585555142165886,0.45297678811982206,7.232073626978228,2.5526395494614333
8,0.28064296193336963,0.48386066422495994,6.937907382552709,2.497825108337268
9,0.2846222671485615,0.45297678811982206,6.875521868657309,2.4768290757063554
10,0.27594503952935606,0.44035336572910855,6.844749259005871,2.4729873654803174
11,0.28655073775367806,0.5043945888148079,6.844749259005871,2.4816529855244953
12,0.280068576429644,0.4511711630867844,6.974884158716305,2.5332287059777574
13,0.2861431068223877,0.4672128086652093,6.945549104047026,2.5104283302598276
14,0.28881461038064427,0.45297678811982206,6.875521868657309,2.4678305790580377
15,0.28396712778828437,0.4745420739120693,6.791526583232956,2.4738618728427397
16,0.283028737616709,0.4254341133105844,6.928419698800107,2.47470691716994
17,0.28195198670772637,0.49270837095748854,6.825331245855619,2.4444503772627675
18,0.288136165136392,0.5043945888148079,6.844749259005871,2.4391023852879523
19,0.278572848244219,0.5515121243176155,6.937907382552709,2.510491071643224
20,0.27897477237343177,0.4511711630867844,6.882173821657113,2.4921449397544375
