Number,SMILEs,NumAtoms,MW,FSP3,Bottcher
3189,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)CSc1c(OCC(C)(C)NC(=O)CC4)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,64,949.3999999999993,0.7755102040816326,764.8663869395741
3190,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)CSc1c(OCC2(NC(=O)CC4)CCC2)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,65,961.4109999999991,0.78,771.8663869395741
3191,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CCCSc1c(OCC(C)(C)NC(=O)CC4)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,63,935.3729999999994,0.7708333333333334,763.6964619381317
3192,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)NC(=O)[C@H](N)CC4)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,65,964.4149999999993,0.7755102040816326,807.6997181394449
3193,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)NC(=O)C[C@@H](C)C4)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,65,963.4269999999993,0.78,783.5460869453433
3194,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)NC(=O)CC4)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,63,935.3729999999994,0.7708333333333334,760.0363119410164
3195,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)NC(=O)[C@H](C)C4)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,64,949.3999999999994,0.7755102040816326,777.5460869453433
3196,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)NC(=O)CCCC4)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,65,963.4269999999992,0.78,772.0363119410164
3197,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)C(=O)N[C@@H](CC4)C(N)=O)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,67,992.4249999999993,0.76,838.8696431408874
3198,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)C(=O)NC2(C4)CCC2)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,66,975.4379999999992,0.7843137254901961,775.0363119410165
3199,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CC(C)Sc1c(OCC(C)(C)C(=O)NC(C4)C(F)(F)F)noc1C(=O)NC12CC3CC(CC(C3)C1)C2,67,1003.3699999999995,0.7755102040816326,809.4779267158432
3200,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CN1CCN(CCCC2)CC1,42,628.0019999999997,0.8181818181818182,445.3957183529424
3201,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4Cn1c(=S)[nH]c2c(-c3ccccc3)c[nH]c2c1=O,50,743.0740000000002,0.5263157894736842,610.761874430199
3202,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4Cc1nc2ccc(N3CCOCC3)nc2s1,48,721.0679999999999,0.6666666666666666,594.8729057425879
3203,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4Cc1nc2ccc(N3CCCC3)nc2s1,47,705.0689999999998,0.6666666666666666,581.7029807411457
3204,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4Cc1nc2ccc(N3CCCCC3)nc2s1,48,719.0959999999998,0.6756756756756757,584.7029807411457
3205,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CCCCCCCCC#CCCCC[C@H](CC2)OCOC,52,768.2239999999994,0.813953488372093,539.8398436024974
3206,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).COC=C1CCC(C2)CC1,41,611.9549999999999,0.7575757575757576,429.16014359672823
3207,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)Nc1ccc(N2CCCCC2)[nH]c1=S,49,737.1109999999999,0.6756756756756757,580.0232807353765
3208,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CC(C)Nc1ccc(NC(=O)CC2)c(=S)[nH]1,47,711.073,0.6571428571428571,573.0232807353765
3209,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).C=CCC(C)(CCC=C(C)C)OC(=O)CCCCCCC2,52,766.2079999999995,0.7441860465116279,554.9902185952857
3210,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CC(CC=COC(=O)CCCCCCC2)CCCC(C)(C)O,53,784.2229999999995,0.7906976744186046,543.8398436024974
3211,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CC(C)=CCCC(C)(CC=CO)OC(=O)CCCCCCC2,53,782.2069999999997,0.7441860465116279,571.4999935996127
3212,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CCCCC/C=C\[C@@H](O)[C@H]1O[C@@H]1CCCCCCC2,50,740.1699999999997,0.8048780487804879,587.0488686212475
3213,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CCCCC/C=C\[C@@H]1O[C@H]1[C@H](O)CCCCCCC2,50,740.1699999999997,0.8048780487804879,587.0488686212474
3214,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CCCCC[C@H](O)[C@H]1O[C@@H]1/C=C\CCCCCCC2,50,740.1699999999997,0.8048780487804879,587.0488686212473
3215,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)N1CCN(c2ccccc2Cl)CC1,48,724.4739999999999,0.6486486486486487,548.860053204269
3216,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).CCOC(=O)N1Cc2cc3ccccc3nc2C1C4,50,728.034,0.5897435897435898,635.5884495643518
3217,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)c1ccc(Cl)c(S(=O)(=O)NCc2ccc(C(F)(F)F)cc2)c1,57,877.5540000000003,0.5365853658536586,623.317961786436
3218,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CN(C1CCCCC1)S(=O)(=O)c1cc(C(=O)CC2)ccc1Cl,53,815.6049999999998,0.675,605.1263438114158
3219,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCCC2)c1,51,787.5509999999999,0.6578947368421053,581.0658220217058
3220,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)c1ccc(Cl)c(S(=O)(=O)NC2CCOCC2)c1,52,803.5500000000001,0.6578947368421053,596.0658220217058
3221,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)c1ccc(Cl)c(S(=O)(=O)NC2CCCCCC2)c1,53,815.6049999999999,0.675,588.8958970202635
3222,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS5(=O).C5CC(=O)c1ccc(Cl)c(S(=O)(=O)NCC23CC4CC(CC(C4)C2)C3)c1,57,867.6809999999998,0.7045454545454546,619.5658220217057
3223,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)c1ccc(Cl)c(S(=O)(=O)NCC2CCCCCC2)c1,54,829.6319999999998,0.6829268292682927,593.7259720188212
3224,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CCC(CC)NS(=O)(=O)c1cc(C(=O)CC2)ccc1Cl,51,789.567,0.6578947368421053,578.8958970202634
3225,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)c1ccc(Cl)c(S(=O)(=O)Nc2ccccc2)c1,52,795.5300000000003,0.5128205128205128,590.4808595209844
3226,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CC(=O)c1ccc(Cl)c(S(=O)(=O)NCCC2CCCCC2)c1,54,829.6319999999998,0.6829268292682927,596.7259720188212
3227,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS2(=O).CC(C)NS(=O)(=O)c1cc(C(=O)CC2)ccc1Cl,49,761.513,0.6388888888888888,572.8958970202634
3228,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4CNC(=O)c1ccc(O[C@H](CCC(F)(F)F)c2ccc(-c3ccc(C(F)(F)F)cn3)cc2)cc1,66,968.1800000000003,0.5102040816326531,697.788722906922
3229,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCCC[C@H](Oc1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccc(C(F)(F)F)cn2)cc1,64,928.237,0.52,681.3666581407492
3230,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CC[C@H](Oc1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,62,899.1950000000002,0.4897959183673469,619.3992457554302
3231,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4CNC(=O)c1ccc(O[C@@H](CC2CCCCC2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)cc1,67,967.314,0.5370370370370371,639.5691707568725
3232,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCCC(Oc1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccc(C(F)(F)F)cn2)cc1,63,914.21,0.5102040816326531,675.3666581407492
3233,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4CNC(=O)c1ccc(OCc2ccc(-c3ccc(C(F)(F)F)cn3)cc2)cc1,60,872.1290000000002,0.4782608695652174,630.3471081320954
3234,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).C3CNC(=O)c1ccc(OC(CC2CCCCC2)c2ccccc2-c2ccc(C(F)(F)F)cc2)cc1,67,967.314,0.5370370370370371,661.9090207597573
3235,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS4(=O).C4CNC(=O)c1ccc(OCC(CCC(F)(F)F)c2ccc(-c3ccc(C(F)(F)F)cc3)nc2)cc1,67,982.2070000000002,0.52,688.2789479025951
3236,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCCCCCC(COc1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2)nc1,67,970.3179999999998,0.5471698113207547,683.8568831364223
3237,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCC(Cc1ccc(-c2ccc(C(F)(F)F)cc2)nc1)Oc1ccc(C(=O)NCC3)cc1,63,914.21,0.5102040816326531,675.3666581407493
3238,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCC(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)Oc1ccc(C(=O)NCC3)cc1,63,913.2220000000001,0.5,625.3992457554305
3239,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCCS3(=O).CCCCCCC(c1ccc(C(=O)NCC3)cc1)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,65,939.3039999999999,0.5283018867924528,599.5496207482188
