RunNum,Silhouette,PD_Min,PD_Max,PD_Avg
1,0.2545635829093869,0.421310966649166,6.785737594992904,2.3751643001607285
2,0.2579713465235532,0.3887418983522107,6.537047690620934,2.4445387161464796
3,0.2566746982826122,0.4246147139693755,7.041094102994492,2.5427636218323397
4,0.2543001148142096,0.40282521782072117,7.2594470101456405,2.527023318536619
5,0.24809991099201992,0.362061501565749,6.9149701577049365,2.46370076192161
6,0.24924188259759494,0.3686197370297173,7.293477906440088,2.5213493451631614
7,0.2561317601461961,0.3846758539402793,6.576118947754169,2.4335931025618796
8,0.26724316935142783,0.377741588504483,6.649795532466139,2.403078932407981
9,0.2607110238346132,0.40742135493817583,7.212083448628418,2.560328445449462
10,0.26528725716613605,0.3460177502907212,6.791526583232956,2.487972314330583
11,0.267638221046549,0.4579867611151563,6.894672442668714,2.4572036459116435
12,0.266061772373505,0.39563957353932794,6.632743513455715,2.3768999542713356
13,0.2604472728103733,0.3940104966368902,7.041094102994492,2.595687064629159
14,0.26942921342375864,0.4246147139693755,7.212083448628418,2.5519513165867362
15,0.27030572382457274,0.46025293225621977,7.146869733119887,2.4435284828551236
16,0.27177623888875885,0.4385260589852734,6.730897581289007,2.502530361777776
17,0.26799411939548706,0.4276306462939415,6.866532104234152,2.4708950505820364
18,0.2579163594188466,0.43743460234783704,6.948099338347921,2.5238632130608045
19,0.2552447469072752,0.40304065191867366,7.293477906440088,2.577816285422773
20,0.26834174460249155,0.4276306462939415,6.894672442668714,2.642065547218581
