RunNum,Silhouette,PD_Min,PD_Max,PD_Avg
1,0.31064661123501364,0.07327610204837312,1.2043188653350294,0.5258060043548164
2,0.3046717168458891,0.07152419191608456,1.1550520337324435,0.519158731806911
3,0.3211055588251616,0.0845058972581731,1.1543843057455323,0.5111419634046188
4,0.3209721103890926,0.05803404709580671,1.1731391818713661,0.4947649006720296
5,0.31940808075483734,0.0671032060799087,1.1602718090588677,0.5211668891670215
6,0.33414585208547604,0.09638884081318196,1.1842544713004546,0.49764219736813675
7,0.3307752240804869,0.08137175737741498,1.1336268459352998,0.49668351453745074
8,0.2909692788821918,0.054827642608246685,1.2168537645386563,0.5146365799541156
9,0.3299495746892851,0.09492099572623706,1.1701533121754573,0.49305699062381514
10,0.3202361295216539,0.0845058972581731,1.1467109311029817,0.49744855706878743
11,0.3292529998347847,0.09740401393386604,1.20803249591646,0.5185447840425556
12,0.335371038575088,0.08988713033428583,1.1257177890246692,0.4823962511472081
13,0.3217555822062215,0.05803404709580671,1.1721030650398154,0.49875706476738535
14,0.323706849170461,0.07469581653089927,1.196132871104979,0.5021729916712501
15,0.32293985215994614,0.0845058972581731,1.1467109311029817,0.4860523931253778
16,0.33112541536994694,0.07665330852538582,1.1405340863240279,0.483289111857646
17,0.3264141116615691,0.09105719994931179,1.1357389265419382,0.49888108560164524
18,0.32012246395928223,0.06984723215533079,1.2280270773510686,0.5191564933631119
19,0.32244683745247216,0.0845058972581731,1.193788595238242,0.5347857116146933
20,0.3144230665712181,0.0725715037485361,1.1991284292578201,0.523097095955736
