Number,SMILEs,NumAtoms,MW,FSP3,Cm,Cluster
1951,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(*)cc2)c(O)c1,2.9737618602702907,2.6439775897174296,-0.0721704385569702,2.9135842870999973,5
975,CCCCCCCCOc1ccc(C(C)(C)CC(C)(C)C)cc1S(=O)(=O)NCC*,1.6640943448882812,1.6609390320157185,0.9242221127378808,1.092218131655384,4
747,N#CCCCCCC*,-0.8361800026591909,-0.9144017072917828,1.2240484427627751,-0.9938896968348542,3
1844,Cc1oc2cc(OCCC*)ccc2c(=O)c1-c1ccccc1,0.8306695623724573,0.5854967333409862,-0.585429759492728,0.7293456182002636,2
795,CS(=O)(=O)c1cccc(*)c1,-0.5980586362260983,-0.5457530356218622,-0.7747937574031876,-0.4417429336019318,1
1529,*CCCCSSC1CCCC2=C1CCCC2,0.1163054630731794,0.2753824413657779,1.2240484427627751,0.1031279268467363,0
