Number,SMILEs,MW,FSP3,Cm
5973,CC1C(C(=CC=C1NC(=O)CC2=CC=CC=C2C(F)F)C(=O)NCC3CCOC3)*,403.4490000000002,0.4545454545454545,391.883044481945
5974,CC(C)(C)OC(=O)N1CCC(CC1)N(C2CC2)C(=O)C3=CN=C(N=C3)C4=CC=C(C=C4)*,421.5210000000001,0.5,309.3502781999423
5975,CC1(CN(CC2(O1)CN(C2)C*)C3=NC(=NC=C3)C4=CN=C5N4C=C(C=C5)C(F)F)C,413.45200000000006,0.4761904761904761,425.8313813840192
5976,C1CCC(C1)C(OC(=O)C23CC4CC(C2)CC(C4)C3)(F)*,279.37499999999994,0.9411764705882352,254.9188946983268
5977,CN(C)C(=O)C1=CC(=C(C=C1)Br)*,227.081,0.2222222222222222,155.53668207643375
5978,CCOC1C2CC(C1N)CC2(C#N)*,179.243,0.9,267.47084725395325
5979,C1=CC(=CC=C1C2=C(C=NC=C2)C3=CC(=C(C=C3)C*)F)Br,341.203,0.0555555555555555,212.17094192920283
5980,CCOC(=O)C1=C(N=C(S1)NC2=NC(=CC(=N2)NCC3=CC=C(C=C3)C*)C4=CN=CO4)C,449.51600000000025,0.2272727272727272,462.2492591545853
5982,C1CC1C(=O)NC2=NN3C=CC=C(C3=N2)C4=CC=C(C=C4)*,277.307,0.1875,256.95829057372254
5983,CC(C(C(F)(F)S(=O)(=O)N)(F)F)(F)*,226.146,1.0,235.29217057633167
5984,CC1=NC=C(C=C1)C*,106.14799999999998,0.2857142857142857,99.92197223231854
5987,C1=CC(=CC(=C1)Br)C2=C(N=CC=C2)C3=CC(=C(C=C3)C*)F,341.2030000000001,0.0555555555555555,243.3408669306452
